reached,goal_distance,distance_traveled,steps,alpha,gamma
False,7,36,35,0.25,0.25
False,7,36,35,0.25,0.25
False,6,31,30,0.25,0.25
False,10,51,50,0.25,0.25
False,5,26,25,0.25,0.25
True,7,17,17,0.25,0.25
True,6,20,20,0.25,0.25
True,4,10,10,0.25,0.25
True,5,12,12,0.25,0.25
True,5,13,13,0.25,0.25
True,7,12,12,0.25,0.25
False,6,31,30,0.25,0.25
True,4,6,6,0.25,0.25
True,10,18,18,0.25,0.25
True,4,10,10,0.25,0.25
True,9,13,13,0.25,0.25
True,5,7,7,0.25,0.25
True,8,3,3,0.25,0.25
True,8,18,18,0.25,0.25
True,10,28,28,0.25,0.25
True,7,16,16,0.25,0.25
True,9,12,12,0.25,0.25
True,9,28,28,0.25,0.25
True,4,5,5,0.25,0.25
True,4,7,7,0.25,0.25
True,4,6,6,0.25,0.25
True,8,12,12,0.25,0.25
True,7,10,10,0.25,0.25
True,6,13,13,0.25,0.25
True,5,6,6,0.25,0.25
True,9,27,27,0.25,0.25
True,8,31,31,0.25,0.25
True,5,10,10,0.25,0.25
True,7,15,15,0.25,0.25
True,5,4,4,0.25,0.25
True,6,9,9,0.25,0.25
True,7,20,20,0.25,0.25
True,7,11,11,0.25,0.25
True,4,9,9,0.25,0.25
True,6,8,8,0.25,0.25
True,5,12,12,0.25,0.25
True,4,5,5,0.25,0.25
True,4,11,11,0.25,0.25
True,5,16,16,0.25,0.25
True,7,9,9,0.25,0.25
True,7,28,28,0.25,0.25
True,7,19,19,0.25,0.25
False,6,31,30,0.25,0.25
True,6,14,14,0.25,0.25
False,4,21,20,0.25,0.25
True,4,10,10,0.25,0.25
False,5,26,25,0.25,0.25
True,5,12,12,0.25,0.25
True,5,14,14,0.25,0.25
True,11,21,21,0.25,0.25
True,5,17,17,0.25,0.25
False,5,26,25,0.25,0.25
True,6,18,18,0.25,0.25
True,6,7,7,0.25,0.25
False,7,36,35,0.25,0.25
False,8,41,40,0.25,0.25
True,10,21,21,0.25,0.25
True,5,7,7,0.25,0.25
True,7,24,24,0.25,0.25
True,6,21,21,0.25,0.25
True,6,13,13,0.25,0.25
True,9,13,13,0.25,0.25
True,6,6,6,0.25,0.25
True,5,12,12,0.25,0.25
True,5,15,15,0.25,0.25
True,4,8,8,0.25,0.25
True,8,11,11,0.25,0.25
True,4,16,16,0.25,0.25
True,4,10,10,0.25,0.25
True,5,6,6,0.25,0.25
True,6,12,12,0.25,0.25
True,4,9,9,0.25,0.25
True,5,10,10,0.25,0.25
True,6,12,12,0.25,0.25
True,7,12,12,0.25,0.25
True,6,17,17,0.25,0.25
True,4,13,13,0.25,0.25
True,5,10,10,0.25,0.25
True,5,9,9,0.25,0.25
True,5,12,12,0.25,0.25
True,6,20,20,0.25,0.25
True,6,5,5,0.25,0.25
True,7,13,13,0.25,0.25
True,5,12,12,0.25,0.25
True,5,10,10,0.25,0.25
True,6,12,12,0.25,0.25
True,6,19,19,0.25,0.25
True,4,6,6,0.25,0.25
True,5,18,18,0.25,0.25
True,11,19,19,0.25,0.25
True,5,10,10,0.25,0.25
False,7,36,35,0.25,0.25
True,11,22,22,0.25,0.25
True,4,3,3,0.25,0.25
False,7,36,35,0.25,0.25
True,10,30,30,0.25,0.25
True,8,12,12,0.25,0.25
True,4,15,15,0.25,0.25
True,8,21,21,0.25,0.25
True,7,9,9,0.25,0.25
True,5,8,8,0.25,0.25
True,6,16,16,0.25,0.25
True,5,8,8,0.25,0.25
True,7,15,15,0.25,0.25
True,5,6,6,0.25,0.25
True,10,16,16,0.25,0.25
True,6,20,20,0.25,0.25
True,8,20,20,0.25,0.25
True,4,5,5,0.25,0.25
True,10,20,20,0.25,0.25
True,5,4,4,0.25,0.25
True,6,14,14,0.25,0.25
True,5,12,12,0.25,0.25
True,6,11,11,0.25,0.25
True,5,7,7,0.25,0.25
True,6,1,1,0.25,0.25
True,4,6,6,0.25,0.25
True,7,21,21,0.25,0.25
True,4,4,4,0.25,0.25
True,4,8,8,0.25,0.25
True,5,10,10,0.25,0.25
True,12,24,24,0.25,0.25
True,4,12,12,0.25,0.25
True,9,21,21,0.25,0.25
True,9,18,18,0.25,0.25
True,5,11,11,0.25,0.25
True,4,6,6,0.25,0.25
True,10,32,32,0.25,0.25
True,5,10,10,0.25,0.25
True,8,12,12,0.25,0.25
True,5,12,12,0.25,0.25
True,6,25,25,0.25,0.25
True,7,13,13,0.25,0.25
True,5,14,14,0.25,0.25
True,5,9,9,0.25,0.25
True,7,13,13,0.25,0.25
True,4,6,6,0.25,0.25
True,4,7,7,0.25,0.25
True,6,13,13,0.25,0.25
True,5,16,16,0.25,0.25
True,4,9,9,0.25,0.25
True,6,13,13,0.25,0.25
True,8,18,18,0.25,0.25
True,4,10,10,0.25,0.25
True,5,13,13,0.25,0.25
True,4,3,3,0.25,0.25
True,4,9,9,0.25,0.25
True,4,8,8,0.25,0.25
True,4,3,3,0.25,0.25
True,8,20,20,0.25,0.25
True,5,5,5,0.25,0.25
True,4,10,10,0.25,0.25
True,9,24,24,0.25,0.25
True,6,12,12,0.25,0.25
True,5,8,8,0.25,0.25
True,8,20,20,0.25,0.25
True,6,9,9,0.25,0.25
True,4,3,3,0.25,0.25
True,9,17,17,0.25,0.25
True,7,5,5,0.25,0.25
True,6,9,9,0.25,0.25
True,5,10,10,0.25,0.25
True,8,10,10,0.25,0.25
True,8,6,6,0.25,0.25
True,7,19,19,0.25,0.25
True,5,9,9,0.25,0.25
True,6,16,16,0.25,0.25
True,4,3,3,0.25,0.25
True,5,4,4,0.25,0.25
True,7,11,11,0.25,0.25
True,6,15,15,0.25,0.25
True,5,8,8,0.25,0.25
True,8,25,25,0.25,0.25
True,5,5,5,0.25,0.25
True,4,6,6,0.25,0.25
True,4,6,6,0.25,0.25
True,5,16,16,0.25,0.25
True,6,10,10,0.25,0.25
True,8,21,21,0.25,0.25
False,5,26,25,0.25,0.25
True,12,25,25,0.25,0.25
True,7,16,16,0.25,0.25
True,7,13,13,0.25,0.25
True,7,15,15,0.25,0.25
True,8,14,14,0.25,0.25
True,5,13,13,0.25,0.25
True,6,12,12,0.25,0.25
False,8,41,40,0.25,0.25
True,4,16,16,0.25,0.25
True,11,9,9,0.25,0.25
True,6,14,14,0.25,0.25
True,6,13,13,0.25,0.25
True,5,6,6,0.25,0.25
True,8,20,20,0.25,0.25
True,4,4,4,0.25,0.25
True,7,21,21,0.25,0.25
True,4,10,10,0.25,0.25
True,4,12,12,0.25,0.25
True,6,14,14,0.25,0.25
True,5,12,12,0.25,0.25
True,5,9,9,0.25,0.25
True,4,6,6,0.25,0.25
True,6,11,11,0.25,0.25
True,10,21,21,0.25,0.25
True,5,4,4,0.25,0.25
True,9,16,16,0.25,0.25
True,4,8,8,0.25,0.25
True,4,8,8,0.25,0.25
False,6,31,30,0.25,0.25
True,8,15,15,0.25,0.25
True,4,5,5,0.25,0.25
True,6,21,21,0.25,0.25
True,8,20,20,0.25,0.25
True,5,6,6,0.25,0.25
True,7,25,25,0.25,0.25
True,4,6,6,0.25,0.25
True,4,7,7,0.25,0.25
True,7,2,2,0.25,0.25
True,4,5,5,0.25,0.25
True,7,21,21,0.25,0.25
True,5,13,13,0.25,0.25
True,6,11,11,0.25,0.25
True,8,18,18,0.25,0.25
True,6,8,8,0.25,0.25
True,4,5,5,0.25,0.25
True,4,7,7,0.25,0.25
True,5,13,13,0.25,0.25
True,5,6,6,0.25,0.25
True,4,10,10,0.25,0.25
True,5,2,2,0.25,0.25
True,8,27,27,0.25,0.25
True,5,11,11,0.25,0.25
True,5,10,10,0.25,0.25
True,7,18,18,0.25,0.25
True,5,12,12,0.25,0.25
True,5,8,8,0.25,0.25
True,4,8,8,0.25,0.25
True,7,16,16,0.25,0.25
True,10,24,24,0.25,0.25
True,8,17,17,0.25,0.25
True,4,10,10,0.25,0.25
True,4,10,10,0.25,0.25
False,6,31,30,0.25,0.25
True,4,6,6,0.25,0.25
True,9,20,20,0.25,0.25
True,5,20,20,0.25,0.25
True,6,7,7,0.25,0.25
True,5,18,18,0.25,0.25
True,4,12,12,0.25,0.25
True,5,10,10,0.25,0.25
True,5,12,12,0.25,0.25
True,5,14,14,0.25,0.25
True,6,6,6,0.25,0.25
True,4,12,12,0.25,0.25
True,9,7,7,0.25,0.25
True,7,13,13,0.25,0.25
True,6,12,12,0.25,0.25
True,4,4,4,0.25,0.25
True,4,3,3,0.25,0.25
True,4,10,10,0.25,0.25
True,4,8,8,0.25,0.25
True,4,6,6,0.25,0.25
True,8,10,10,0.25,0.25
True,6,12,12,0.25,0.25
True,6,13,13,0.25,0.25
True,6,7,7,0.25,0.25
True,6,10,10,0.25,0.25
True,6,9,9,0.25,0.25
True,4,3,3,0.25,0.25
True,4,3,3,0.25,0.25
True,10,19,19,0.25,0.25
True,5,9,9,0.25,0.25
True,4,16,16,0.25,0.25
True,8,12,12,0.25,0.25
True,5,15,15,0.25,0.25
True,5,10,10,0.25,0.25
True,4,12,12,0.25,0.25
True,5,7,7,0.25,0.25
True,6,12,12,0.25,0.25
True,6,10,10,0.25,0.25
True,9,18,18,0.25,0.25
True,7,18,18,0.25,0.25
True,8,10,10,0.25,0.25
True,4,9,9,0.25,0.25
True,8,21,21,0.25,0.25
True,6,12,12,0.25,0.25
True,7,6,6,0.25,0.25
True,6,13,13,0.25,0.25
False,4,21,20,0.25,0.25
True,8,16,16,0.25,0.25
False,6,31,30,0.25,0.25
True,5,15,15,0.25,0.25
True,7,15,15,0.25,0.25
True,5,15,15,0.25,0.25
True,6,14,14,0.25,0.25
True,5,8,8,0.25,0.25
True,4,12,12,0.25,0.25
True,4,6,6,0.25,0.25
True,7,19,19,0.25,0.25
True,6,7,7,0.25,0.25
True,9,13,13,0.25,0.25
True,5,4,4,0.25,0.25
True,7,18,18,0.25,0.25
True,6,22,22,0.25,0.25
True,6,8,8,0.25,0.25
True,7,28,28,0.25,0.25
True,9,25,25,0.25,0.25
True,4,9,9,0.25,0.25
True,8,15,15,0.25,0.25
True,7,9,9,0.25,0.25
True,5,8,8,0.25,0.25
True,7,20,20,0.25,0.25
True,4,5,5,0.25,0.25
True,5,4,4,0.25,0.25
True,7,10,10,0.25,0.25
False,8,41,40,0.25,0.25
True,7,10,10,0.25,0.25
True,7,17,17,0.25,0.25
True,4,9,9,0.25,0.25
True,4,8,8,0.25,0.25
True,8,20,20,0.25,0.25
True,10,15,15,0.25,0.25
True,4,18,18,0.25,0.25
True,11,20,20,0.25,0.25
True,4,3,3,0.25,0.25
True,7,12,12,0.25,0.25
True,7,9,9,0.25,0.25
True,5,4,4,0.25,0.25
True,6,16,16,0.25,0.25
True,4,5,5,0.25,0.25
True,4,12,12,0.25,0.25
True,5,11,11,0.25,0.25
True,4,11,11,0.25,0.25
True,9,21,21,0.25,0.25
True,7,15,15,0.25,0.25
False,7,36,35,0.25,0.25
True,9,27,27,0.25,0.25
True,4,5,5,0.25,0.25
True,6,12,12,0.25,0.25
True,5,10,10,0.25,0.25
True,4,6,6,0.25,0.25
True,6,1,1,0.25,0.25
True,6,12,12,0.25,0.25
True,4,12,12,0.25,0.25
True,8,16,16,0.25,0.25
True,4,5,5,0.25,0.25
True,9,15,15,0.25,0.25
True,5,12,12,0.25,0.25
True,6,9,9,0.25,0.25
True,7,11,11,0.25,0.25
True,8,19,19,0.25,0.25
True,5,12,12,0.25,0.25
False,8,41,40,0.25,0.25
True,5,6,6,0.25,0.25
True,4,6,6,0.25,0.25
True,4,6,6,0.25,0.25
True,4,6,6,0.25,0.25
True,5,4,4,0.25,0.25
True,5,19,19,0.25,0.25
True,6,12,12,0.25,0.25
True,5,9,9,0.25,0.25
True,8,16,16,0.25,0.25
True,4,6,6,0.25,0.25
False,9,46,45,0.25,0.25
True,4,11,11,0.25,0.25
True,7,8,8,0.25,0.25
True,6,6,6,0.25,0.25
True,6,7,7,0.25,0.25
True,10,18,18,0.25,0.25
True,5,9,9,0.25,0.25
True,12,23,23,0.25,0.25
True,6,9,9,0.25,0.25
True,4,9,9,0.25,0.25
True,6,16,16,0.25,0.25
True,6,13,13,0.25,0.25
True,8,12,12,0.25,0.25
True,5,13,13,0.25,0.25
True,6,20,20,0.25,0.25
True,9,25,25,0.25,0.25
True,5,11,11,0.25,0.25
True,7,12,12,0.25,0.25
True,6,13,13,0.25,0.25
True,6,15,15,0.25,0.25
True,6,7,7,0.25,0.25
True,8,15,15,0.25,0.25
True,6,12,12,0.25,0.25
True,7,17,17,0.25,0.25
True,7,23,23,0.25,0.25
True,5,9,9,0.25,0.25
True,7,9,9,0.25,0.25
True,6,12,12,0.25,0.25
True,4,11,11,0.25,0.25
True,8,12,12,0.25,0.25
True,5,5,5,0.25,0.25
True,10,19,19,0.25,0.25
True,4,3,3,0.25,0.25
True,6,11,11,0.25,0.25
True,8,21,21,0.25,0.25
True,6,9,9,0.25,0.25
True,5,8,8,0.25,0.25
True,4,7,7,0.25,0.25
True,5,6,6,0.25,0.25
True,5,10,10,0.25,0.25
True,7,12,12,0.25,0.25
True,7,9,9,0.25,0.25
True,4,9,9,0.25,0.25
False,10,51,50,0.25,0.25
True,9,16,16,0.25,0.25
True,8,15,15,0.25,0.25
True,6,15,15,0.25,0.25
True,8,12,12,0.25,0.25
True,8,15,15,0.25,0.25
True,7,13,13,0.25,0.25
True,4,6,6,0.25,0.25
True,5,4,4,0.25,0.25
True,8,18,18,0.25,0.25
True,8,8,8,0.25,0.25
True,8,10,10,0.25,0.25
True,10,20,20,0.25,0.25
True,4,5,5,0.25,0.25
True,7,12,12,0.25,0.25
True,4,9,9,0.25,0.25
True,10,30,30,0.25,0.25
True,4,8,8,0.25,0.25
True,7,16,16,0.25,0.25
True,4,8,8,0.25,0.25
True,9,18,18,0.25,0.25
True,4,6,6,0.25,0.25
True,5,12,12,0.25,0.25
True,7,15,15,0.25,0.25
True,4,11,11,0.25,0.25
True,5,8,8,0.25,0.25
True,10,32,32,0.25,0.25
True,4,7,7,0.25,0.25
True,5,6,6,0.25,0.25
True,6,12,12,0.25,0.25
True,6,9,9,0.25,0.25
True,5,9,9,0.25,0.25
True,4,8,8,0.25,0.25
True,4,8,8,0.25,0.25
True,11,20,20,0.25,0.25
True,4,10,10,0.25,0.25
True,5,10,10,0.25,0.25
True,4,6,6,0.25,0.25
True,8,25,25,0.25,0.25
True,9,12,12,0.25,0.25
True,9,15,15,0.25,0.25
True,7,15,15,0.25,0.25
True,8,14,14,0.25,0.25
True,4,3,3,0.25,0.25
False,6,31,30,0.25,0.25
True,8,16,16,0.25,0.25
True,8,16,16,0.25,0.25
True,4,9,9,0.25,0.25
True,6,21,21,0.25,0.25
True,5,10,10,0.25,0.25
True,5,16,16,0.25,0.25
True,6,11,11,0.25,0.25
True,7,18,18,0.25,0.25
True,7,16,16,0.25,0.25
True,6,17,17,0.25,0.25
True,4,15,15,0.25,0.25
True,7,20,20,0.25,0.25
True,8,30,30,0.25,0.25
True,6,16,16,0.25,0.25
True,8,17,17,0.25,0.25
True,5,11,11,0.25,0.25
False,6,31,30,0.25,0.25
True,6,10,10,0.25,0.25
True,8,15,15,0.25,0.25
True,6,10,10,0.25,0.25
True,6,6,6,0.25,0.25
True,8,12,12,0.25,0.25
True,5,9,9,0.25,0.25
True,6,9,9,0.25,0.25
True,5,6,6,0.25,0.25
True,5,6,6,0.25,0.25
True,5,12,12,0.25,0.25
True,8,11,11,0.25,0.25
True,4,12,12,0.25,0.25
True,7,13,13,0.25,0.25
True,4,10,10,0.25,0.25
True,8,17,17,0.25,0.25
True,9,24,24,0.25,0.25
True,5,14,14,0.25,0.25
True,7,12,12,0.25,0.25
True,9,18,18,0.25,0.25
True,8,18,18,0.25,0.25
True,4,9,9,0.25,0.25
True,8,13,13,0.25,0.25
True,7,9,9,0.25,0.25
